"Step","clear-butterfly-13 - recon_loss","clear-butterfly-13 - recon_loss__MIN","clear-butterfly-13 - recon_loss__MAX","ruby-dream-12 - recon_loss","ruby-dream-12 - recon_loss__MIN","ruby-dream-12 - recon_loss__MAX","fanciful-haze-11 - recon_loss","fanciful-haze-11 - recon_loss__MIN","fanciful-haze-11 - recon_loss__MAX","eager-dream-10 - recon_loss","eager-dream-10 - recon_loss__MIN","eager-dream-10 - recon_loss__MAX"
"14","1163.2760607130983","1163.2760607130983","1163.2760607130983","1143.1303664187167","1143.1303664187167","1143.1303664187167","1133.0774799752742","1133.0774799752742","1133.0774799752742","1119.199365104513","1119.199365104513","1119.199365104513"
"15","1163.1460280398105","1163.1460280398105","1163.1460280398105","1142.8733034823804","1142.8733034823804","1142.8733034823804","1132.9484238644864","1132.9484238644864","1132.9484238644864","1118.8096969279836","1118.8096969279836","1118.8096969279836"
"16","1163.2687529868267","1163.2687529868267","1163.2687529868267","1142.8490523967337","1142.8490523967337","1142.8490523967337","1132.6811732515375","1132.6811732515375","1132.6811732515375","1118.6787087298453","1118.6787087298453","1118.6787087298453"
"17","1162.9032764191322","1162.9032764191322","1162.9032764191322","1142.3806805549784","1142.3806805549784","1142.3806805549784","1132.545729616855","1132.545729616855","1132.545729616855","1118.5844730458361","1118.5844730458361","1118.5844730458361"
"18","1162.7847797799618","1162.7847797799618","1162.7847797799618","1142.310399871177","1142.310399871177","1142.310399871177","1132.3006504789312","1132.3006504789312","1132.3006504789312","1118.388070743642","1118.388070743642","1118.388070743642"
"19","1162.654916576629","1162.654916576629","1162.654916576629","1142.0704304147273","1142.0704304147273","1142.0704304147273","1132.2362834524602","1132.2362834524602","1132.2362834524602","1118.1945406000666","1118.1945406000666","1118.1945406000666"
"20","1162.4978357193318","1162.4978357193318","1162.4978357193318","1142.017259573429","1142.017259573429","1142.017259573429","1132.1270109136053","1132.1270109136053","1132.1270109136053","1118.144414893617","1118.144414893617","1118.144414893617"
"21","1162.4200539446892","1162.4200539446892","1162.4200539446892","1141.871702153632","1141.871702153632","1141.871702153632","1131.9692652925532","1131.9692652925532","1131.9692652925532","1117.954104938913","1117.954104938913","1117.954104938913"
"22","1162.1977257261885","1162.1977257261885","1162.1977257261885","1141.5443330805354","1141.5443330805354","1141.5443330805354","1131.8380190585522","1131.8380190585522","1131.8380190585522","1117.7810862439744","1117.7810862439744","1117.7810862439744"
"23","1162.1489539613115","1162.1489539613115","1162.1489539613115","1141.4182682118517","1141.4182682118517","1141.4182682118517","1131.6248540350732","1131.6248540350732","1131.6248540350732","1117.713243200424","1117.713243200424","1117.713243200424"
"24","1161.8285374418217","1161.8285374418217","1161.8285374418217","1141.2865582405252","1141.2865582405252","1141.2865582405252","1131.4676252649185","1131.4676252649185","1131.4676252649185","1117.6509109821725","1117.6509109821725","1117.6509109821725"
"25","1161.5516069128157","1161.5516069128157","1161.5516069128157","1141.1882608616606","1141.1882608616606","1141.1882608616606","1131.3360526876247","1131.3360526876247","1131.3360526876247","1117.4795347822474","1117.4795347822474","1117.4795347822474"
"26","1161.627419199842","1161.627419199842","1161.627419199842","1140.985888671875","1140.985888671875","1140.985888671875","1131.3044754352975","1131.3044754352975","1131.3044754352975","1117.457808604139","1117.457808604139","1117.457808604139"
"27","1161.4849882085273","1161.4849882085273","1161.4849882085273","1140.8433500249334","1140.8433500249334","1140.8433500249334","1131.046777733336","1131.046777733336","1131.046777733336","1117.389152364528","1117.389152364528","1117.389152364528"
"28","1161.3862739725316","1161.3862739725316","1161.3862739725316","1140.9247118361452","1140.9247118361452","1140.9247118361452","1131.0136397990775","1131.0136397990775","1131.0136397990775","1117.1807265261386","1117.1807265261386","1117.1807265261386"
"29","1161.217841225482","1161.217841225482","1161.217841225482","1140.7064627140126","1140.7064627140126","1140.7064627140126","1130.896684102809","1130.896684102809","1130.896684102809","1117.1499310432596","1117.1499310432596","1117.1499310432596"
"30","1161.0603757168385","1161.0603757168385","1161.0603757168385","1140.7123718261719","1140.7123718261719","1140.7123718261719","1130.7819699551196","1130.7819699551196","1130.7819699551196","1117.0353346804354","1117.0353346804354","1117.0353346804354"
"31","1160.9770751953124","1160.9770751953124","1160.9770751953124","1140.4175609832114","1140.4175609832114","1140.4175609832114","1130.6460047945063","1130.6460047945063","1130.6460047945063","1116.8862050157911","1116.8862050157911","1116.8862050157911"
"32","1160.8081331293633","1160.8081331293633","1160.8081331293633","1140.453474199011","1140.453474199011","1140.453474199011","1130.6615279826713","1130.6615279826713","1130.6615279826713","1116.8773302443485","1116.8773302443485","1116.8773302443485"
"33","1160.7473427630484","1160.7473427630484","1160.7473427630484","1140.1181182212017","1140.1181182212017","1140.1181182212017","1130.5252943972323","1130.5252943972323","1130.5252943972323","1116.77366345994","1116.77366345994","1116.77366345994"
"34","1160.7234929510887","1160.7234929510887","1160.7234929510887","1140.153223175698","1140.153223175698","1140.153223175698","1130.4981692050367","1130.4981692050367","1130.4981692050367","1116.8412804136885","1116.8412804136885","1116.8412804136885"
"35","1160.5641362616357","1160.5641362616357","1160.5641362616357","1140.075841116398","1140.075841116398","1140.075841116398","1130.2544693317818","1130.2544693317818","1130.2544693317818","1116.668040563705","1116.668040563705","1116.668040563705"
"36","1160.356742177111","1160.356742177111","1160.356742177111","1139.8943534688747","1139.8943534688747","1139.8943534688747","1130.4079985922956","1130.4079985922956","1130.4079985922956","1116.7447683780752","1116.7447683780752","1116.7447683780752"
"37","1160.1062412992437","1160.1062412992437","1160.1062412992437","1139.9083059757313","1139.9083059757313","1139.9083059757313","1130.1038858616605","1130.1038858616605","1130.1038858616605","1116.5577619836686","1116.5577619836686","1116.5577619836686"
"38","1160.1308826203042","1160.1308826203042","1160.1308826203042","1139.908394281915","1139.908394281915","1139.908394281915","1130.2108080275516","1130.2108080275516","1130.2108080275516","1116.5549202127659","1116.5549202127659","1116.5549202127659"
"39","1160.1025558147026","1160.1025558147026","1160.1025558147026","1139.784705109292","1139.784705109292","1139.784705109292","1130.0198547363282","1130.0198547363282","1130.0198547363282","1116.4936275401014","1116.4936275401014","1116.4936275401014"
"40","1159.9770772731051","1159.9770772731051","1159.9770772731051","1139.6730568743767","1139.6730568743767","1139.6730568743767","1129.95534044631","1129.95534044631","1129.95534044631","1116.344351131358","1116.344351131358","1116.344351131358"
"41","1160.008034174493","1160.008034174493","1160.008034174493","1139.4848541909075","1139.4848541909075","1139.4848541909075","1129.9827817226978","1129.9827817226978","1129.9827817226978","1116.4041644157248","1116.4041644157248","1116.4041644157248"
"42","1159.922100440492","1159.922100440492","1159.922100440492","1139.5347027717753","1139.5347027717753","1139.5347027717753","1129.887699208361","1129.887699208361","1129.887699208361","1116.4385320135887","1116.4385320135887","1116.4385320135887"
"43","1159.8456061180602","1159.8456061180602","1159.8456061180602","1139.4741384952627","1139.4741384952627","1139.4741384952627","1129.7525871114528","1129.7525871114528","1129.7525871114528","1116.2398151803525","1116.2398151803525","1116.2398151803525"
"44","1159.5829072992854","1159.5829072992854","1159.5829072992854","1139.2917612928024","1139.2917612928024","1139.2917612928024","1129.7351933905418","1129.7351933905418","1129.7351933905418","1116.3743288730054","1116.3743288730054","1116.3743288730054"
"45","1159.5391727528674","1159.5391727528674","1159.5391727528674","1139.4095055113448","1139.4095055113448","1139.4095055113448","1129.590467087766","1129.590467087766","1129.590467087766","1116.1198686315659","1116.1198686315659","1116.1198686315659"
"46","1159.5882487844913","1159.5882487844913","1159.5882487844913","1139.1029795545212","1139.1029795545212","1139.1029795545212","1129.6458267536568","1129.6458267536568","1129.6458267536568","1116.0609397076546","1116.0609397076546","1116.0609397076546"
"47","1159.4957449405752","1159.4957449405752","1159.4957449405752","1139.0125885659077","1139.0125885659077","1139.0125885659077","1129.5713702262717","1129.5713702262717","1129.5713702262717","1116.2040740317486","1116.2040740317486","1116.2040740317486"
"48","1159.3095577158826","1159.3095577158826","1159.3095577158826","1139.1309017100232","1139.1309017100232","1139.1309017100232","1129.563150089345","1129.563150089345","1129.563150089345","1116.1608114039643","1116.1608114039643","1116.1608114039643"
"49","1159.2891134059175","1159.2891134059175","1159.2891134059175","1139.06629391934","1139.06629391934","1139.06629391934","1129.4429292719415","1129.4429292719415","1129.4429292719415","1116.033702963971","1116.033702963971","1116.033702963971"
