"Step","clear-butterfly-13 - kl_loss","clear-butterfly-13 - kl_loss__MIN","clear-butterfly-13 - kl_loss__MAX","ruby-dream-12 - kl_loss","ruby-dream-12 - kl_loss__MIN","ruby-dream-12 - kl_loss__MAX","fanciful-haze-11 - kl_loss","fanciful-haze-11 - kl_loss__MIN","fanciful-haze-11 - kl_loss__MAX","eager-dream-10 - kl_loss","eager-dream-10 - kl_loss__MIN","eager-dream-10 - kl_loss__MAX"
"38","5.684475949470033","5.684475949470033","5.684475949470033","11.764742250645414","11.764742250645414","11.764742250645414","18.191869366422612","18.191869366422612","18.191869366422612","56.58719168318079","56.58719168318079","56.58719168318079"
"39","5.687585422840524","5.687585422840524","5.687585422840524","11.781167718197437","11.781167718197437","11.781167718197437","18.170223964528834","18.170223964528834","18.170223964528834","56.54027801675999","56.54027801675999","56.54027801675999"
"40","5.687380899266993","5.687380899266993","5.687380899266993","11.780789247472235","11.780789247472235","11.780789247472235","18.189720056412067","18.189720056412067","18.189720056412067","56.48275003636137","56.48275003636137","56.48275003636137"
"41","5.688800521607095","5.688800521607095","5.688800521607095","11.778100494628257","11.778100494628257","11.778100494628257","18.15291202829239","18.15291202829239","18.15291202829239","56.46182192538647","56.46182192538647","56.46182192538647"
"42","5.679236523648526","5.679236523648526","5.679236523648526","11.794528636526554","11.794528636526554","11.794528636526554","18.099956100545032","18.099956100545032","18.099956100545032","56.4328999214984","56.4328999214984","56.4328999214984"
"43","5.698177618676044","5.698177618676044","5.698177618676044","11.79396133625761","11.79396133625761","11.79396133625761","18.155466434803415","18.155466434803415","18.155466434803415","56.4308573134402","56.4308573134402","56.4308573134402"
"44","5.7005415013495915","5.7005415013495915","5.7005415013495915","11.766220076540684","11.766220076540684","11.766220076540684","18.15682636017495","18.15682636017495","18.15682636017495","56.369037660639336","56.369037660639336","56.369037660639336"
"45","5.714865475512566","5.714865475512566","5.714865475512566","11.792349243164063","11.792349243164063","11.792349243164063","18.165584564208984","18.165584564208984","18.165584564208984","56.350454322327955","56.350454322327955","56.350454322327955"
"46","5.710947668806035","5.710947668806035","5.710947668806035","11.815005060966978","11.815005060966978","11.815005060966978","18.13185265317876","18.13185265317876","18.13185265317876","56.40972479962288","56.40972479962288","56.40972479962288"
"47","5.734008059603102","5.734008059603102","5.734008059603102","11.802781531151306","11.802781531151306","11.802781531151306","18.131633115322032","18.131633115322032","18.131633115322032","56.35545526869753","56.35545526869753","56.35545526869753"
"48","5.739926643574491","5.739926643574491","5.739926643574491","11.792723454820349","11.792723454820349","11.792723454820349","18.165354328967155","18.165354328967155","18.165354328967155","56.312902012277156","56.312902012277156","56.312902012277156"
"49","5.7381595804336225","5.7381595804336225","5.7381595804336225","11.792035147484313","11.792035147484313","11.792035147484313","18.129530573905782","18.129530573905782","18.129530573905782","56.31161180861453","56.31161180861453","56.31161180861453"
