true_class,predicted_class,count,avg_prob_true_class,avg_prob_pred_class,prob_difference
1,0,324,0.35298565,0.6200785,0.26709285
1,2,225,0.3369114,0.6256954,0.288784
0,1,187,0.31262666,0.58630306,0.2736764
2,1,174,0.30329716,0.5839302,0.28063303
3,2,35,0.17759407,0.6664707,0.48887664
2,0,31,0.08571699,0.5616189,0.47590193
0,2,22,0.13425615,0.5166034,0.38234726
3,1,2,0.069434315,0.3722273,0.302793
3,0,1,0.00016978061,0.66803193,0.6678622
